source,contract,tx_hash,status,method,block_number,timestamp_utc,top_level_caller,target,internal_caller,internal_target,value,trace_source_provider_type
basescan_internal_quick_export,SpendPermissionManager,0x88cfec08871ffff804ced59e0b73e246b5aec4c352204727025de447a99bff2f,Success,,47251127,2026-06-12 19:13:21,,,0xf85210B21cC50302F477BA56686d2019dC9b67Ad,0x819BaD57B9d3291f01BB32DAC69B37BA7b3af0Bb,0.00001 ETH,basescan_html_internal_tx_table
basescan_internal_quick_export,SpendPermissionManager,0x88cfec08871ffff804ced59e0b73e246b5aec4c352204727025de447a99bff2f,Success,,47251127,2026-06-12 19:13:21,,,0x99e2dae682149EA75D0a459C84C7356Fb416E3C4,0xf85210B21cC50302F477BA56686d2019dC9b67Ad,0.00001 ETH,basescan_html_internal_tx_table
basescan_internal_quick_export,SpendPermissionManager,0x0b8bc7f936e5e518f0d533f8521b93b44d149fc4fa3250682c0935fc7291d46a,Success,,47251129,2026-06-12 19:13:25,,,0xf85210B21cC50302F477BA56686d2019dC9b67Ad,0x819BaD57B9d3291f01BB32DAC69B37BA7b3af0Bb,0.00001 ETH,basescan_html_internal_tx_table
basescan_internal_quick_export,SpendPermissionManager,0x0b8bc7f936e5e518f0d533f8521b93b44d149fc4fa3250682c0935fc7291d46a,Success,,47251129,2026-06-12 19:13:25,,,0x99e2dae682149EA75D0a459C84C7356Fb416E3C4,0xf85210B21cC50302F477BA56686d2019dC9b67Ad,0.00001 ETH,basescan_html_internal_tx_table
basescan_internal_quick_export,SpendPermissionManager,0x2f89558f75d8de1edc0879a552cfcb3d1103d0c6608f1fca84650588a113c13e,Success,,47251133,2026-06-12 19:13:33,,,0xf85210B21cC50302F477BA56686d2019dC9b67Ad,0x819BaD57B9d3291f01BB32DAC69B37BA7b3af0Bb,0.00001 ETH,basescan_html_internal_tx_table
basescan_internal_quick_export,SpendPermissionManager,0x2f89558f75d8de1edc0879a552cfcb3d1103d0c6608f1fca84650588a113c13e,Success,,47251133,2026-06-12 19:13:33,,,0x99e2dae682149EA75D0a459C84C7356Fb416E3C4,0xf85210B21cC50302F477BA56686d2019dC9b67Ad,0.00001 ETH,basescan_html_internal_tx_table
basescan_internal_quick_export,SpendPermissionManager,0x9cee088b703d807afec700179d11a03f3b8d4bcd38b1422b6cb856c8ed256c51,Success,,47282058,2026-06-13 12:24:23,,,0xf85210B21cC50302F477BA56686d2019dC9b67Ad,0x3990DB2524a57508296c1900969526Cec872aA4a,0.0011 ETH,basescan_html_internal_tx_table
basescan_internal_quick_export,SpendPermissionManager,0x9cee088b703d807afec700179d11a03f3b8d4bcd38b1422b6cb856c8ed256c51,Success,,47282058,2026-06-13 12:24:23,,,0x4490Db50B178C8d4c3fDdeC9cbdB917c6BA0Dad1,0xf85210B21cC50302F477BA56686d2019dC9b67Ad,0.0011 ETH,basescan_html_internal_tx_table
basescan_quick_export,SpendPermissionManager,0x1eff5cbd2d71f4b64ad0b92054134c19297921f11fb7e4e88c347fa905d45fa5,Success,Spend,47310674,2026-06-14 04:18:15,0xF9383563A2c7b23C79411dB6d48E9Ec127185295,0xf85210B21cC50302F477BA56686d2019dC9b67Ad,,,0 ETH,basescan_html_tx_table
basescan_quick_export,SpendPermissionManager,0x865d34f11f554077f70a3e5c0a52324b56a4e78b5e7596307ae387eae49f31b9,Error in Internal Txn : execution reverted,Approve With Signature,47312534,2026-06-14 05:20:15,0x26610fcb052695A790EEbe82cde5ff504D1CD84A,0xf85210B21cC50302F477BA56686d2019dC9b67Ad,,,0 ETH,basescan_html_tx_table
